"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test12_AddPaymentMethod.cy.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 13, 36
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test13_EditPersonalData.cy.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 12, 33
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test14_MakeAnOrder.cy.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 27, 73
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test15_OrderDetails.cy.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 27, 74
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test16_OrderTracking.cy.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 12, 30
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test17_CancelOrder.cy.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 27, 74
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test18_ArchivedOrder.cy.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 27, 74
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test19_SendWorkWithUs.cy.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test20_OpenChatBot.cy.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test21_logout.cy.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\package-lock.json", "JSON", 20716, 0, 0, 0, 0, 0, 0, 0, 1, 20717
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\App.jsx", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 10, 123
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\auth.jsx", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\Addresses.jsx", "JavaScript", 0, 208, 0, 0, 0, 0, 0, 0, 20, 228
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\AddressesForm.jsx", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\CardReviews.jsx", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 6, 54
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\Footer.jsx", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\ImageGallery.jsx", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\ImageReviewsSlider.jsx", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\Login.jsx", "JavaScript", 0, 186, 0, 0, 0, 0, 0, 0, 12, 198
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\Notification.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\ProductSlider.jsx", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\ReviewDetails.jsx", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 15, 82
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\UserMenu.jsx", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
